# {"t_start": 1557470624.180563, "env_id": "maze-sample-5x5-v0"} 
r,l,t
-0.164,292,236.798218
-1.172,544,237.123259
0.44,141,237.200676
0.368,159,237.286846
0.704,75,237.326008
0.232,193,237.43155
0.444,140,237.499512
0.392,153,237.581311
0.012,248,237.713071
0.316,172,237.805718
0.128,219,237.92203
-0.12,281,238.073073
0.556,112,238.137612
0.076,232,238.259257
0.272,183,238.359118
-0.116,280,238.516025
0.708,74,238.555311
-0.224,307,238.713378
0.2,201,238.818433
-1.0,501,239.066972
0.432,143,239.135984
0.676,82,239.177011
-0.832,459,239.397326
-2.136,785,239.781458
-0.032,259,239.904133
-0.78,446,240.115081
-0.252,314,240.270711
0.432,143,240.336392
-0.216,305,240.476516
-0.076,270,240.601366
0.364,160,240.680244
0.216,197,240.772049
-0.588,398,240.961358
-0.188,298,241.102926
0.24,191,241.195691
0.54,116,241.248251
0.112,223,241.367012
-0.512,379,241.575065
0.76,61,241.610048
0.64,91,241.660332
0.8,51,241.68809
0.88,31,241.704603
-0.236,310,241.875076
0.808,49,241.9011
0.176,207,242.012598
-1.576,645,242.350775
0.44,141,242.419386
-0.436,360,242.600089
0.696,77,242.642915
0.44,141,242.730643
-0.496,375,242.981888
0.704,75,243.030469
0.5,126,243.102781
-0.144,287,243.289121
0.568,109,243.357948
-0.268,318,243.529354
0.04,241,243.655569
0.228,194,243.774902
0.492,128,243.843673
-1.02,506,244.154053
-0.308,328,244.364922
0.664,85,244.415157
-1.736,685,244.826768
-0.196,300,244.969535
-3.204,1052,245.506741
0.008,249,245.649018
-0.032,259,245.785349
-8.0,2000,246.832162
-0.0,251,246.988714
-1.884,722,247.348302
-1.092,524,247.588141
-1.128,533,247.865522
-0.872,469,248.087301
-0.984,497,248.31589
-8.0,2000,249.272382
-0.148,288,249.411057
-8.0,2000,250.428763
0.5,126,250.491541
-2.484,872,250.995603
0.64,91,251.043746
0.368,159,251.131567
-2.416,855,251.606368
-1.66,666,252.080616
-2.1,776,252.499146
0.12,221,252.607831
0.452,138,252.677893
0.56,111,252.736469
0.54,116,252.794879
-2.812,954,253.257232
0.384,155,253.330766
-1.132,534,253.602137
-0.82,456,253.81696
0.708,74,253.851928
0.744,65,253.882827
0.384,155,253.956465
0.252,188,254.046169
0.68,81,254.087325
0.688,79,254.123423
0.664,85,254.166256
-0.9,476,254.389072
-3.548,1138,254.918217
-0.792,449,255.131221
0.044,240,255.244418
-3.576,1145,255.82751
0.528,119,255.885978
0.66,86,255.92678
0.7,76,255.964568
-0.116,280,256.095961
0.424,145,256.162571
0.54,116,256.217634
0.164,210,256.32131
0.284,180,256.405815
-2.168,793,256.785382
0.556,112,256.846814
-1.304,577,257.145906
-1.072,519,257.42558
-3.432,1109,257.998856
-4.5,1376,258.730925
-5.528,1633,259.558818
0.336,167,259.645158
-0.948,488,259.884139
-0.236,310,260.046357
-3.032,1009,260.588086
-6.752,1939,261.571854
0.3,176,261.662987
-1.248,563,262.033714
-2.756,940,262.522192
-1.428,608,262.812052
-0.864,467,263.047013
-1.12,531,263.293355
-0.96,491,263.530709
-8.0,2000,264.482855
-2.116,780,264.853588
0.008,249,264.983388
-3.264,1067,265.499347
-3.0,1001,266.037902
-1.048,513,266.298076
0.388,154,266.371986
0.6,101,266.420854
-1.996,750,266.794201
-0.848,463,267.020134
0.748,64,267.05204
0.26,186,267.140491
-0.052,264,267.278709
-0.032,259,267.412628
-0.452,364,267.59916
0.268,184,267.693145
0.276,182,267.785698
0.84,41,267.807498
-0.084,272,267.939175
0.304,175,268.030542
-1.788,698,268.388337
0.584,105,268.441199
0.592,103,268.492014
0.592,103,268.540584
0.516,122,268.597165
0.152,213,268.701847
-0.388,348,268.87555
-0.132,284,269.013325
0.064,235,269.127671
0.216,197,269.232758
-0.224,307,269.387976
0.296,177,269.477859
0.66,86,269.519171
0.34,166,269.598638
0.644,90,269.639013
0.044,240,269.7755
-0.028,258,269.896777
-0.1,276,270.028893
-0.504,377,270.222021
0.544,115,270.277677
0.452,138,270.342718
-0.316,330,270.500228
0.332,168,270.584228
0.688,79,270.631109
0.472,133,270.69646
0.728,69,270.728786
0.484,130,270.811691
0.232,193,270.920601
0.704,75,270.956593
0.692,78,270.994037
0.864,35,271.011432
0.616,97,271.057369
0.672,83,271.099516
0.272,183,271.189141
0.908,24,271.201402
0.48,131,271.267214
0.468,134,271.340826
0.088,229,271.464028
0.816,47,271.489044
0.8,51,271.516653
-0.176,295,271.659623
0.176,207,271.755909
0.292,178,271.849779
0.392,153,271.922921
0.22,196,272.011567
0.616,97,272.056988
0.604,100,272.105066
0.52,121,272.161847
0.816,47,272.186965
0.18,206,272.290371
0.276,182,272.378775
0.388,154,272.451689
0.712,73,272.484569
0.292,178,272.568541
0.14,216,272.673695
0.612,98,272.721306
0.848,39,272.741029
0.724,70,272.773029
-0.104,277,272.902444
0.556,112,272.957192
0.076,232,273.065288
0.776,57,273.093244
0.512,123,273.151931
0.62,96,273.198212
0.452,138,273.266672
0.628,94,273.315752
0.488,129,273.379023
0.772,58,273.406431
0.592,103,273.456429
0.504,125,273.51619
0.748,64,273.545943
0.808,49,273.568316
0.236,192,273.658966
0.532,118,273.717572
-1.596,650,274.032792
0.044,240,274.190217
0.232,193,274.289133
0.692,78,274.331007
0.684,80,274.371444
0.28,181,274.45389
0.392,153,274.528492
0.408,149,274.6038
0.788,54,274.634585
0.436,142,274.703325
0.18,206,274.804149
0.528,119,274.860823
0.632,93,274.909068
-0.372,344,275.084509
-1.272,569,275.362739
0.68,81,275.404283
0.432,143,275.477197
0.9,26,275.493237
0.728,69,275.525979
0.86,36,275.54677
0.596,102,275.593637
0.288,179,275.674697
0.496,127,275.732247
0.016,247,275.850071
-0.716,430,276.057389
0.872,33,276.073294
0.316,172,276.155732
0.512,123,276.215482
0.476,132,276.279526
-0.04,261,276.398056
-0.036,260,276.520964
0.716,72,276.561449
0.732,68,276.592374
0.62,96,276.641073
0.604,100,276.691329
-0.024,257,276.816024
0.844,40,276.83619
0.72,71,276.873451
0.58,106,276.931615
0.472,133,276.999214
0.132,218,277.103868
0.676,82,277.143462
0.72,71,277.179902
0.44,141,277.255158
-0.148,288,277.422091
0.68,81,277.4825
0.592,103,277.566509
0.78,56,277.598595
0.672,83,277.650013
0.308,174,277.743268
0.68,81,277.786276
0.904,25,277.801662
0.78,56,277.828918
0.888,29,277.846241
0.64,91,277.891182
0.688,79,277.932582
0.36,161,278.01665
0.784,55,278.043978
0.672,83,278.087186
0.412,148,278.166949
0.336,167,278.266686
-0.268,318,278.430836
0.812,48,278.454381
0.68,81,278.49208
0.688,79,278.529669
0.656,87,278.573064
0.8,51,278.600276
0.644,90,278.649928
0.496,127,278.715987
0.264,185,278.808873
0.724,70,278.848513
0.884,30,278.864444
0.396,152,278.94429
0.668,84,278.987252
0.692,78,279.024941
0.788,54,279.053039
0.824,45,279.07437
0.796,52,279.101434
0.768,59,279.131746
0.66,86,279.173801
0.608,99,279.224204
0.184,205,279.333242
0.388,154,279.410464
0.768,59,279.444976
0.26,186,279.548878
0.556,112,279.609517
0.404,150,279.689647
0.748,64,279.723642
0.832,43,279.747381
0.548,114,279.807439
0.8,51,279.834691
0.436,142,279.907644
0.612,98,279.959061
0.764,60,279.990002
0.784,55,280.016856
0.612,98,280.06663
0.556,112,280.126636
0.776,57,280.157898
0.76,61,280.192014
-0.204,302,280.346835
0.664,85,280.390759
0.72,71,280.42985
-0.668,418,280.645253
0.016,247,280.781093
0.648,89,280.826721
0.888,29,280.843278
0.12,221,280.953909
0.444,140,281.021982
0.78,56,281.048536
0.372,158,281.125661
0.552,113,281.182706
0.536,117,281.242361
0.744,65,281.275237
0.652,88,281.321649
0.604,100,281.374805
0.62,96,281.425914
0.78,56,281.456587
0.668,84,281.502205
0.74,66,281.536985
0.628,94,281.585108
-0.048,263,281.724041
0.672,83,281.769531
-0.176,295,281.957239
0.608,99,282.011232
0.832,43,282.034303
0.736,67,282.068875
-0.176,295,282.223909
0.2,201,282.33008
0.396,152,282.407717
0.252,188,282.50789
0.452,138,282.585816
0.4,151,282.662552
0.816,47,282.687735
0.776,57,282.714525
0.348,164,282.795525
0.772,58,282.827545
0.668,84,282.867915
0.648,89,282.909456
0.356,162,282.990404
0.036,242,283.114946
0.46,136,283.187477
0.66,86,283.232532
0.72,71,283.266808
0.524,120,283.328482
-0.256,315,283.482161
0.768,59,283.511213
-0.128,283,283.65981
0.724,70,283.701815
-0.22,306,283.862867
0.692,78,283.904739
-0.488,373,284.084364
0.784,55,284.128725
0.784,55,284.159959
0.468,134,284.250968
0.46,136,284.331258
0.576,107,284.394957
0.716,72,284.433243
0.204,200,284.540396
0.68,81,284.585531
0.58,106,284.641186
0.504,125,284.703429
0.316,172,284.78994
0.128,219,284.898921
0.292,178,284.987082
0.02,246,285.114275
0.276,182,285.212949
0.64,91,285.261117
0.664,85,285.308645
0.12,221,285.420772
0.312,173,285.511586
-0.128,283,285.662634
0.356,162,285.754051
0.48,131,285.834603
0.308,174,285.92991
0.636,92,285.976738
0.568,109,286.032912
0.688,79,286.072882
0.6,101,286.122423
0.364,160,286.198523
-0.08,271,286.353938
-0.74,436,286.608202
0.568,109,286.664798
0.652,88,286.711529
0.324,170,286.800898
0.776,57,286.830366
0.516,122,286.896825
0.712,73,286.935535
0.612,98,286.989937
0.252,188,287.086671
0.356,162,287.172942
0.712,73,287.22397
0.64,91,287.281238
-0.008,253,287.435125
-0.348,338,287.64378
0.816,47,287.671068
0.532,118,287.749229
0.804,50,287.782526
0.864,35,287.811434
-0.152,289,288.030271
0.568,109,288.100209
0.812,48,288.131377
0.748,64,288.167686
0.708,74,288.20958
-0.112,279,288.370321
-0.136,285,288.509378
0.84,41,288.528827
0.908,24,288.541994
0.116,222,288.691893
0.848,39,288.711186
0.792,53,288.738146
0.596,102,288.785711
0.904,25,288.797771
0.68,81,288.837868
0.864,35,288.855235
-0.288,323,289.013101
0.3,176,289.097649
0.412,148,289.175157
0.712,73,289.209312
0.74,66,289.241532
0.164,210,289.345466
0.632,93,289.395189
0.872,33,289.409247
-0.172,294,289.545386
0.752,63,289.576393
0.328,169,289.66073
0.292,178,289.751356
0.496,127,289.814539
0.464,135,289.888676
0.52,121,289.948287
0.588,104,290.02058
0.72,71,290.055028
-0.708,428,290.257548
0.768,59,290.284441
0.044,240,290.39511
-0.084,272,290.528502
0.596,102,290.580788
-0.152,289,290.723941
0.656,87,290.763309
0.86,36,290.783613
0.16,211,290.883661
0.764,60,290.911261
-0.04,261,291.035012
-2.452,864,291.489276
-1.88,721,291.860642
0.436,142,291.929454
0.776,57,291.955395
-0.544,387,292.138312
-0.296,325,292.300067
0.244,190,292.386282
-0.056,265,292.514886
0.068,234,292.638093
0.376,157,292.719227
0.524,120,292.777251
0.064,235,292.904715
0.72,71,292.938717
0.456,137,293.014949
0.592,103,293.065497
-1.308,578,293.345434
0.276,182,293.431893
0.752,63,293.466122
0.404,150,293.538039
0.176,207,293.633447
0.564,110,293.687262
0.388,154,293.755439
0.288,179,293.836923
0.28,181,293.916699
0.58,106,293.965094
0.468,134,294.023601
0.032,243,294.138057
0.716,72,294.173478
0.1,226,294.290071
-1.0,501,294.522972
0.312,173,294.601205
0.48,131,294.664461
0.476,132,294.72438
0.784,55,294.750369
0.524,120,294.807056
0.52,121,294.861662
-1.456,615,295.197276
0.62,96,295.246768
0.752,63,295.296092
0.652,88,295.339538
0.564,110,295.396146
0.42,146,295.469664
-1.692,674,295.797173
-1.768,693,296.12994
0.6,101,296.178085
0.656,87,296.220073
0.296,177,296.308148
0.736,67,296.339604
0.86,36,296.357843
-0.364,342,296.522024
0.836,42,296.542681
-0.04,261,296.679168
0.472,133,296.745018
-1.192,549,297.016248
0.724,70,297.051112
0.528,119,297.103823
-1.872,719,297.449817
-1.04,511,297.704551
0.392,153,297.803056
0.636,92,297.862052
0.644,90,297.913081
0.096,227,298.042301
0.892,28,298.059194
0.46,136,298.167447
0.572,108,298.233183
0.464,135,298.307977
0.692,78,298.356816
0.668,84,298.422678
0.216,197,298.513019
0.892,28,298.529056
0.628,94,298.57172
0.776,57,298.599806
-0.94,486,298.836605
0.168,209,298.93477
0.468,134,298.997967
0.516,122,299.05146
-0.104,277,299.189583
0.476,132,299.25461
-1.424,607,299.555222
-0.78,446,299.759502
0.424,145,299.82725
0.62,96,299.871785
0.344,165,299.952825
0.364,160,300.025131
-0.084,272,300.158199
0.536,117,300.212998
0.332,168,300.2887
0.46,136,300.355228
0.004,250,300.474309
0.792,53,300.505362
0.704,75,300.552206
0.668,84,300.597969
-0.572,394,300.795203
0.352,163,300.874986
0.836,42,300.896441
0.376,157,300.978428
0.684,80,301.017103
0.36,161,301.095164
-0.072,269,301.219637
0.848,39,301.239781
0.796,52,301.264783
0.556,112,301.315474
0.784,55,301.344381
-2.044,762,301.716593
0.252,188,301.81397
0.492,128,301.874794
0.312,173,301.96398
0.56,111,302.01926
-1.076,520,302.269983
0.816,47,302.293223
0.588,104,302.338384
-1.532,634,302.628128
0.732,68,302.65805
0.24,191,302.747843
0.8,51,302.771023
0.836,42,302.789664
0.076,232,302.89441
0.732,68,302.925528
0.188,204,303.019709
0.572,108,303.070518
0.456,137,303.146443
0.716,72,303.197106
-0.512,379,303.429589
0.544,115,303.498971
0.616,97,303.552915
0.656,87,303.601473
-0.308,328,303.774241
0.628,94,303.824879
-0.152,289,303.967421
0.548,114,304.023271
0.484,130,304.09249
0.432,143,304.163088
0.34,166,304.241179
0.72,71,304.276241
0.564,110,304.331969
0.32,171,304.416526
0.656,87,304.458295
0.7,76,304.494107
0.588,104,304.545235
0.768,59,304.573253
0.372,158,304.647921
-0.128,283,304.810896
0.888,29,304.84353
0.248,189,304.945796
0.696,77,304.9859
0.42,146,305.060472
0.348,164,305.150954
0.464,135,305.217473
0.788,54,305.245715
0.732,68,305.277215
0.724,70,305.312596
0.152,213,305.423322
0.448,139,305.492044
0.624,95,305.537689
0.6,101,305.585611
-0.768,443,305.810092
0.52,121,305.874843
0.624,95,305.922656
0.672,83,305.964108
0.328,169,306.05126
0.76,61,306.081064
-0.288,323,306.236925
0.764,60,306.264603
0.76,61,306.329205
0.752,63,306.368161
-0.184,297,306.556774
-1.124,532,306.833549
0.748,64,306.866428
0.58,106,306.925538
0.372,158,307.017405
0.652,88,307.076924
0.4,151,307.171524
0.784,55,307.218721
0.416,147,307.327256
0.808,49,307.366668
0.512,123,307.441003
-0.148,288,307.645219
