# {"t_start": 1557470624.180563, "env_id": "maze-sample-5x5-v0"} 
r,l,t
0.064,235,63.428675
-2.26,816,63.85639
0.6,101,63.912238
0.368,159,63.994753
0.564,110,64.044804
-0.68,421,64.248446
0.376,157,64.325653
-0.6,401,64.521261
-1.128,533,64.784968
0.732,68,64.816305
-0.528,383,65.007738
-0.696,425,65.211278
-1.796,700,65.564111
-0.036,260,65.707396
-0.14,286,65.848205
0.248,189,65.954584
0.332,168,66.038753
-0.528,383,66.22307
-0.168,293,66.362963
-2.22,806,66.762629
-0.32,331,66.953362
-0.748,438,67.178782
0.244,190,67.273021
0.484,130,67.330335
-1.348,588,67.626498
0.104,225,67.745343
0.42,146,67.821291
0.684,80,67.863099
0.552,113,67.923437
0.292,178,68.021774
0.06,236,68.145398
-0.948,488,68.3842
0.152,213,68.485566
0.572,108,68.537675
-0.108,278,68.672378
0.78,56,68.698381
-0.108,278,68.842365
0.664,85,68.883927
0.06,236,68.995426
-2.42,856,69.444979
-4.892,1474,70.205184
0.548,114,70.262635
0.788,54,70.292427
-0.456,365,70.479784
-0.596,400,70.662157
-0.232,309,70.807575
0.084,230,70.92644
-0.044,262,71.118272
-0.248,313,71.328083
0.348,164,71.406925
-0.908,478,71.684357
-1.04,511,71.933908
0.14,216,72.050403
-0.32,331,72.219957
-0.18,296,72.369801
-1.608,653,72.769159
-2.464,867,73.228095
-0.124,282,73.359873
-0.4,351,73.533474
0.556,112,73.594457
-8.0,2000,74.578132
0.696,77,74.61393
-2.772,944,75.103258
0.728,69,75.139038
-0.236,310,75.29045
-4.992,1499,76.076743
-5.828,1708,76.876677
-2.528,883,77.330423
0.168,209,77.440952
-0.704,427,77.646094
-0.312,329,77.80465
-0.468,368,77.975505
0.392,153,78.074448
-1.884,722,78.495252
0.024,245,78.683329
-4.76,1441,79.547036
-2.06,766,79.938138
0.484,130,80.010532
0.044,240,80.143635
-4.92,1481,80.932621
-0.928,483,81.216479
-0.456,365,81.42196
0.456,137,81.496928
0.78,56,81.530019
0.348,164,81.62429
0.364,160,81.721729
0.62,96,81.775819
0.316,172,81.86091
-0.376,345,82.052766
0.7,76,82.096629
0.736,67,82.134745
0.196,202,82.239503
-0.148,288,82.389335
-2.044,762,82.779794
0.004,250,82.901634
-0.304,327,83.058687
-0.324,332,83.213783
-0.94,486,83.437275
0.492,128,83.505216
-1.492,624,83.789647
-1.924,732,84.130876
0.548,114,84.184101
0.58,106,84.234727
-1.236,560,84.492866
0.532,118,84.548416
0.048,239,84.659418
-0.032,259,84.791212
-2.324,832,85.351196
0.768,59,85.396292
-1.076,520,85.734352
-3.736,1185,86.352657
0.208,199,86.449639
0.252,188,86.551569
0.112,223,86.674707
0.212,198,86.780373
-0.952,489,87.060364
0.336,167,87.150607
0.856,37,87.168042
0.748,64,87.198923
0.348,164,87.284758
0.748,64,87.316782
-3.9,1226,87.960663
-1.32,581,88.250787
0.016,247,88.377574
0.216,197,88.488636
0.164,210,88.611337
-3.404,1102,89.209054
-0.328,333,89.377694
-0.116,280,89.514082
0.54,116,89.572892
0.24,191,89.666427
0.24,191,89.760685
0.224,195,89.863588
0.392,153,89.96401
0.64,91,90.008776
0.384,155,90.086096
-0.276,320,90.257448
0.272,183,90.344545
0.164,210,90.444264
0.084,230,90.576811
0.172,208,90.677016
0.46,136,90.738406
-1.416,605,91.047425
-0.224,307,91.215452
0.436,142,91.289958
0.428,144,91.366427
-0.56,391,91.600721
-0.488,373,91.798958
-2.656,915,92.29956
0.752,63,92.333228
0.648,89,92.382953
0.384,155,92.466861
-1.376,595,92.792947
0.576,107,92.865458
-0.572,394,93.08948
0.176,207,93.197129
-0.42,356,93.383254
0.644,90,93.428411
-0.852,464,93.695389
-0.04,261,93.826958
-0.064,267,93.954923
0.408,149,94.024431
0.032,243,94.146745
0.244,190,94.250219
-1.936,735,94.646503
0.336,167,94.728725
0.456,137,94.802256
0.644,90,94.844561
0.028,244,94.97194
-0.084,272,95.144076
-0.28,321,95.320843
0.344,165,95.410234
-0.636,410,95.61831
-0.232,309,95.783299
-0.796,450,96.007295
0.1,226,96.115191
-0.82,456,96.328802
0.34,166,96.406953
-0.516,380,96.624131
-2.636,910,97.231612
-1.672,669,97.624336
0.54,116,97.683312
-3.752,1189,98.288056
0.008,249,98.416106
-0.5,376,98.60178
-0.376,345,98.758011
0.424,145,98.828435
0.776,57,98.859461
0.628,94,98.913581
0.104,225,99.030765
-0.832,459,99.249195
-1.344,587,99.563322
-0.836,460,99.81126
-1.336,585,100.100116
-4.084,1272,100.703491
-1.1,526,100.962251
-0.868,468,101.203257
-0.596,400,101.413315
-1.236,560,101.676236
-0.16,291,101.812883
-1.328,583,102.080546
-0.832,459,102.293912
-2.0,751,102.67313
-2.656,915,103.172018
-3.88,1221,103.794652
-1.34,586,104.091517
-0.268,318,104.238608
-0.048,263,104.366023
-0.62,406,104.558751
0.112,223,104.673295
-0.172,294,104.813415
-0.524,382,105.022047
-0.54,386,105.234763
-0.7,426,105.45442
0.776,57,105.485324
-0.204,302,105.657136
0.656,87,105.713242
0.604,100,105.770803
-0.26,316,105.938985
0.18,206,106.048142
0.764,60,106.089618
-0.564,392,106.298537
-2.444,862,106.768868
0.78,56,106.800684
-0.056,265,106.93777
0.472,133,107.007923
0.756,62,107.040707
-1.024,507,107.312984
0.644,90,107.360112
-0.064,267,107.489081
0.292,178,107.585672
0.792,53,107.619808
0.588,104,107.673796
-1.988,748,108.058757
-0.372,344,108.229754
0.3,176,108.334931
0.216,197,108.439582
0.076,232,108.584734
0.336,167,108.679645
-0.008,253,108.847358
-0.132,284,109.000636
0.824,45,109.02114
-1.1,526,109.285274
0.084,230,109.401486
0.496,127,109.47812
0.592,103,109.531406
-1.152,539,109.801892
-0.196,300,109.952857
0.504,125,110.016559
0.704,75,110.052552
-0.44,361,110.233393
-0.484,372,110.41505
-3.22,1056,110.937958
-0.832,459,111.159179
-0.316,330,111.314528
-0.3,326,111.474858
0.124,220,111.585401
0.236,192,111.689723
-1.08,521,111.961647
-8.0,2000,112.983301
-3.124,1032,113.533531
-5.912,1729,114.382232
-1.4,601,114.66766
0.66,86,114.708846
-1.288,573,114.976447
-0.064,267,115.104469
-1.704,677,115.441491
-0.996,500,115.693049
-0.824,457,115.914106
-4.252,1314,116.545224
-5.36,1591,117.322321
-2.64,911,117.75012
-0.964,492,117.983223
-0.556,390,118.17264
0.272,183,118.258425
0.764,60,118.287709
0.532,118,118.344205
-0.068,268,118.468803
0.66,86,118.508101
-1.468,618,118.794717
-1.552,639,119.086322
-1.088,523,119.334524
-0.76,441,119.538627
0.004,250,119.65841
-0.332,334,119.814473
0.248,189,119.90673
-0.736,435,120.112246
0.364,160,120.186857
0.264,185,120.27473
-1.232,559,120.535666
-0.28,321,120.691238
-0.92,481,120.915642
0.464,135,120.9773
-0.176,295,121.123475
-0.368,343,121.286369
-0.484,372,121.468813
-0.716,430,121.6735
0.076,232,121.786317
-0.5,376,121.965453
-0.14,286,122.10827
0.08,231,122.223553
-0.216,305,122.365634
-0.824,457,122.57507
0.628,94,122.629567
0.772,58,122.654519
0.268,184,122.746083
0.12,221,122.853199
-0.536,385,123.032007
0.504,125,123.089836
0.216,197,123.187271
0.06,236,123.319708
0.772,58,123.35059
-0.444,362,123.542256
0.336,167,123.632175
-0.132,284,123.789328
0.404,150,123.8617
0.188,204,123.957609
0.476,132,124.021293
0.54,116,124.081143
0.048,239,124.210178
-0.244,312,124.370473
-0.056,265,124.506525
0.408,149,124.586844
-0.248,313,124.748869
0.408,149,124.820349
-0.128,283,124.967336
-0.016,255,125.094677
0.652,88,125.142291
0.536,117,125.200699
-0.644,412,125.423094
-0.324,332,125.579609
0.092,228,125.690069
0.54,116,125.750648
-1.604,652,126.094894
0.3,176,126.186216
0.284,180,126.2718
0.184,205,126.374518
0.028,244,126.495884
0.172,208,126.594027
0.24,191,126.692244
-0.068,268,126.830048
-1.2,551,127.094345
-0.912,479,127.336045
-0.484,372,127.516766
-1.28,571,127.806612
0.736,67,127.840767
0.764,60,127.86773
0.728,69,127.898074
0.304,175,127.983878
-0.504,377,128.178355
0.64,91,128.224837
0.516,122,128.28363
-0.3,326,128.449109
-1.664,667,128.782457
-0.836,460,129.013184
-0.108,278,129.147973
-0.944,487,129.384982
-0.372,344,129.555147
-2.728,933,130.009779
0.576,107,130.058604
0.052,238,130.176546
0.504,125,130.238126
0.744,65,130.267818
0.396,152,130.33797
-0.324,332,130.499094
-2.0,751,130.852305
-0.304,327,131.007938
0.536,117,131.061547
-0.032,259,131.184418
0.44,141,131.252719
0.256,187,131.338384
0.12,221,131.44126
0.628,94,131.48822
0.08,231,131.596228
0.576,107,131.650351
-0.068,268,131.78584
0.692,78,131.824864
0.072,233,131.941894
-0.852,464,132.189007
-0.372,344,132.366824
0.708,74,132.4069
-0.164,292,132.568125
0.624,95,132.624981
-0.32,331,132.805342
-1.068,518,133.079311
-0.104,277,133.229727
-2.252,814,133.631038
0.696,77,133.669677
-0.388,348,133.833596
-0.004,252,133.951843
0.476,132,134.013509
0.448,139,134.077895
-0.644,412,134.283845
-0.356,340,134.458399
0.28,181,134.545889
-0.372,344,134.722134
0.192,203,134.823297
-0.088,273,134.955478
-0.576,395,135.14703
0.348,164,135.240108
0.424,145,135.30834
-0.08,271,135.436216
-0.448,363,135.635687
0.616,97,135.700311
0.592,103,135.76329
-0.544,387,135.960636
0.636,92,136.00788
-0.0,251,136.134959
-0.036,260,136.261243
-1.468,618,136.548715
-3.248,1063,137.04115
-0.66,416,137.23463
-5.992,1749,138.085677
-0.836,460,138.321667
-5.048,1513,139.083873
0.556,112,139.140534
-2.24,811,139.562431
0.28,181,139.656387
-1.032,509,139.904062
0.56,111,139.961994
0.26,186,140.054327
0.616,97,140.104519
0.796,52,140.127386
-0.544,387,140.318855
0.576,107,140.382448
-2.912,979,140.913223
-1.624,657,141.256821
0.904,25,141.268086
-1.412,604,141.559057
-4.84,1461,142.264127
-2.032,759,142.61458
-0.584,397,142.811847
-0.756,440,143.033843
0.12,221,143.140021
-0.168,293,143.283807
0.012,248,143.402717
0.136,217,143.501502
0.296,177,143.586028
-0.92,481,143.814748
0.16,211,143.928169
0.352,163,144.003905
-0.4,351,144.184521
0.612,98,144.24251
0.74,66,144.284046
0.82,46,144.306781
0.532,118,144.362719
0.628,94,144.406516
0.56,111,144.457588
0.828,44,144.480266
0.488,129,144.554443
-0.916,480,144.808018
0.768,59,144.836706
-0.248,313,145.002801
-0.072,269,145.142833
-0.032,259,145.278921
-1.22,556,145.567216
0.744,65,145.608658
0.7,76,145.648694
-1.372,594,145.952262
-0.152,289,146.119994
-0.572,394,146.346666
0.604,100,146.392995
0.704,75,146.430852
-0.74,436,146.631866
-1.928,733,146.980928
-0.968,493,147.219487
-0.276,320,147.366845
-2.188,798,147.734714
-2.488,873,148.148073
-1.2,551,148.413611
-0.864,467,148.635649
0.596,102,148.683983
-0.244,312,148.830017
-0.568,393,149.011434
0.268,184,149.101008
-0.764,442,149.329987
-8.0,2000,150.325802
-5.424,1607,151.135526
0.348,164,151.21607
-2.656,915,151.636374
-0.692,424,151.851638
-3.004,1002,152.366997
-1.284,572,152.674969
-0.328,333,152.863306
-6.048,1763,153.942559
0.692,78,153.98047
-0.972,494,154.210599
-0.596,400,154.408073
0.088,229,154.513494
-8.0,2000,155.469135
-6.748,1938,156.46449
-1.988,748,156.868113
0.056,237,156.997703
-4.404,1352,157.639213
-1.78,696,158.00981
-1.252,564,158.290328
0.304,175,158.37086
-8.0,2000,159.299662
-1.704,677,159.629132
0.164,210,159.730206
-0.832,459,159.951184
-0.576,395,160.168747
-1.784,697,160.497585
-8.0,2000,161.499404
0.104,225,161.607294
-3.644,1162,162.192107
-1.308,578,162.501682
-0.956,490,162.775868
-1.572,644,163.110349
-0.124,282,163.251659
-0.008,253,163.36736
0.496,127,163.43076
-3.096,1025,163.969884
0.396,152,164.057817
0.144,215,164.169204
-3.052,1014,164.8489
0.492,128,164.924095
-0.336,335,165.143871
-3.636,1160,165.800803
-2.096,775,166.202754
0.132,218,166.308617
0.3,176,166.392128
0.104,225,166.508708
-1.192,549,166.796377
-1.156,540,167.088396
-4.812,1454,167.820808
-0.476,370,168.004785
0.136,217,168.112089
-0.02,256,168.237345
0.516,122,168.293574
0.688,79,168.333661
-0.072,269,168.475482
0.644,90,168.519102
-0.556,390,168.705761
-0.124,282,168.849166
0.468,134,168.920045
-0.064,267,169.05073
0.708,74,169.090567
-0.98,496,169.353134
0.324,170,169.434051
-0.276,320,169.583609
0.212,198,169.674547
0.18,206,169.77457
0.176,207,169.869731
-0.816,455,170.08875
-0.916,480,170.338501
0.46,136,170.403986
-0.484,372,170.586863
0.252,188,170.684702
0.268,184,170.784868
0.64,91,170.833147
-0.724,432,171.035583
-0.556,390,171.214085
0.556,112,171.266529
0.24,191,171.35868
0.584,105,171.409907
0.412,148,171.49136
-0.836,460,171.745968
0.664,85,171.786148
0.692,78,171.822808
0.464,135,171.885174
-0.076,270,172.009187
-0.076,270,172.1389
-1.144,537,172.396852
-0.772,444,172.62741
0.2,201,172.734982
-0.392,349,172.924421
0.116,222,173.046242
0.452,138,173.128575
0.628,94,173.185649
0.704,75,173.228786
-1.02,506,173.500293
0.5,126,173.560342
0.504,125,173.624663
0.672,83,173.670409
0.624,95,173.715567
-0.248,313,173.862168
-1.216,555,174.135821
0.576,107,174.187261
-0.564,392,174.379558
0.664,85,174.418746
-0.208,303,174.560699
-0.672,419,174.764628
0.428,144,174.829547
-1.704,677,175.168097
0.644,90,175.217367
-0.316,330,175.401495
0.488,129,175.472998
-0.336,335,175.638871
-0.072,269,175.775793
-0.624,407,175.973433
-1.244,562,176.275631
-0.676,420,176.577214
-1.94,736,177.010118
-1.068,518,177.289358
-3.112,1029,177.829762
-1.324,582,178.128991
-0.828,458,178.464314
-8.0,2000,179.572068
0.644,90,179.637627
0.812,48,179.667548
0.496,127,179.746015
-0.304,327,179.919386
0.52,121,180.024918
0.064,235,180.200065
-2.816,955,180.715999
-0.092,274,180.868373
-0.0,251,181.008123
-0.82,456,181.25104
-0.528,383,181.52357
-2.244,812,181.970776
-1.024,507,182.26072
-2.34,836,182.781868
0.292,178,182.879452
-1.612,654,183.228634
-0.78,446,183.501449
-0.028,258,183.658836
0.436,142,183.741218
-1.052,514,184.001229
0.448,139,184.068094
-1.084,522,184.343608
0.704,75,184.382266
0.348,164,184.462818
-0.192,299,184.617044
-0.444,362,184.794636
-0.636,410,185.000764
-0.852,464,185.25301
-0.032,259,185.377816
0.452,138,185.446809
0.492,128,185.50806
0.612,98,185.558026
0.416,147,185.630139
0.472,133,185.691846
0.54,116,185.748184
0.184,205,185.858694
0.28,181,185.955114
-0.772,444,186.187416
-1.236,560,186.466781
-0.288,323,186.637099
-0.56,391,186.8453
-2.336,835,187.253944
0.812,48,187.282595
0.316,172,187.378311
0.076,232,187.496582
0.568,109,187.560627
0.088,229,187.67727
0.52,121,187.735174
0.732,68,187.771163
0.04,241,187.891552
-0.58,396,188.079314
0.668,84,188.12012
-0.664,417,188.342167
-0.132,284,188.512817
0.484,130,188.585432
0.772,58,188.621928
0.772,58,188.657141
0.216,197,188.790596
-3.048,1013,189.279958
0.784,55,189.309806
0.248,189,189.40708
-0.06,266,189.548386
0.676,82,189.592053
-0.948,488,189.833281
-0.452,364,190.009905
-0.136,285,190.15521
-0.048,263,190.294409
-0.152,289,190.428969
-0.064,267,190.553249
-0.4,351,190.725376
0.184,205,190.838627
0.544,115,190.895137
-0.976,495,191.126205
-0.116,280,191.253874
0.256,187,191.348733
-4.404,1352,192.036928
0.444,140,192.115362
0.164,210,192.227593
-8.0,2000,193.274117
-3.752,1189,193.843351
-8.0,2000,194.82654
0.284,180,194.925707
-1.94,736,195.286234
-5.016,1505,196.053384
0.476,132,196.142757
-1.384,597,196.431278
-3.288,1073,196.952909
-0.416,355,197.136516
-0.524,382,197.323205
-0.36,341,197.489055
-4.632,1409,198.20361
0.576,107,198.255385
-0.436,360,198.452616
-2.784,947,198.912163
-0.768,443,199.128044
-0.672,419,199.338824
-3.556,1140,199.897993
0.328,169,199.985414
-0.212,304,200.144496
-3.888,1223,200.763833
-2.172,794,201.159293
-1.872,719,201.521831
-1.084,522,201.776979
-1.4,601,202.085996
-2.272,819,202.481338
0.424,145,202.555442
-0.608,403,202.741056
-1.16,541,202.998897
-0.64,411,203.196862
-0.612,404,203.389269
-0.388,348,203.555646
-0.224,307,203.711511
0.204,200,203.819849
-1.46,616,204.11472
-1.576,645,204.421816
0.376,157,204.496149
0.532,118,204.551706
-0.892,474,204.788544
0.156,212,204.903583
0.428,144,204.974611
-0.424,357,205.163642
-0.632,409,205.370084
0.548,114,205.428909
0.664,85,205.474662
0.5,126,205.535122
-0.108,278,205.671871
0.256,187,205.762736
-0.028,258,205.905486
0.66,86,205.952641
0.06,236,206.074288
-0.796,450,206.306462
-0.104,277,206.456449
0.272,183,206.546443
-0.156,290,206.705956
0.312,173,206.797566
0.756,62,206.829362
0.084,230,206.945385
0.64,91,206.999257
0.612,98,207.052848
0.584,105,207.105412
0.788,54,207.134832
-0.02,256,207.262576
0.356,162,207.350677
0.684,80,207.388605
-1.016,505,207.633156
0.308,174,207.718406
-0.104,277,207.855637
-0.268,318,208.012301
-0.488,373,208.188702
0.38,156,208.259807
0.792,53,208.283409
-0.456,365,208.457555
-0.444,362,208.628516
-0.432,359,208.835786
-0.372,344,209.009679
0.676,82,209.049453
-1.196,550,209.339376
0.688,79,209.380784
0.748,64,209.413409
0.472,133,209.477201
-0.276,320,209.656025
0.504,125,209.718157
0.124,220,209.828662
-1.492,624,210.129098
-1.408,603,210.46748
0.184,205,210.56349
0.748,64,210.601314
-6.188,1798,211.526189
-0.064,267,211.64957
-0.464,367,211.89153
-0.12,281,212.087198
-5.52,1631,212.960474
0.384,155,213.048479
-0.396,350,213.214194
0.284,180,213.30658
-0.404,352,213.542323
-1.42,606,213.905207
-1.4,601,214.329059
-0.072,269,214.489949
0.46,136,214.56648
-2.492,874,215.075192
0.768,59,215.106423
0.34,166,215.191898
-0.664,417,215.392594
0.204,200,215.48957
-0.312,329,215.665441
-2.26,816,216.070221
-0.176,295,216.214822
0.4,151,216.287969
0.652,88,216.339284
-0.328,333,216.511892
-2.024,757,216.897241
-3.676,1170,217.543303
-0.712,429,217.787426
-1.78,696,218.129838
0.256,187,218.214212
0.28,181,218.301062
-1.556,640,218.610483
-2.764,942,219.050935
-3.264,1067,219.683108
0.456,137,219.76506
0.692,78,219.810569
-3.876,1220,220.440613
-6.74,1936,221.361958
0.536,117,221.426406
-1.156,540,221.688533
