episode_length,episode_return,fps,her_entropy,her_explained_variance,her_loss,her_loss_bc,her_loss_f,her_loss_policy,her_loss_q,her_norm_grads,memory_usage(GB),rewards,total_timesteps
0.0,0.0,0,1.3862793445587158,0.24928069114685059,-1.3816415071487427,-0.0,-2.1258530616760254,-2.1258530616760254,1.5161488056182861,3.5415725708007812,0.0,0.0,0
366.6,-0.4624,1943,1.3284807205200195,0.0753941535949707,0.05612390860915184,-0.0,0.06695754081010818,0.06695754081010818,0.004902346525341272,0.2076871693134308,0.0,0.0,20000
924.9,-2.9968,2026,1.3582141399383545,-1.1567046642303467,-0.06625422835350037,-0.0,-0.05503792688250542,-0.05503792688250542,0.004731685854494572,0.1153542697429657,0.0,0.0,40000
897.3,-2.6856,2051,1.3693293333053589,-0.8058098554611206,-0.007964534685015678,-0.0,0.0056313700042665005,0.0056313700042665005,0.00019477485329844058,0.020785469561815262,0.0,0.0,60000
604.5,-1.5144,2056,1.2105411291122437,-0.3097113370895386,-0.13965526223182678,-0.0,-0.1319698989391327,-0.1319698989391327,0.008840090595185757,0.2781938910484314,0.0,0.0,80000
209.4,0.1664,2045,1.3519461154937744,-0.7593915462493896,-0.10869387537240982,-0.0,-0.09720848500728607,-0.09720848500728607,0.0040681324899196625,0.15417088568210602,0.0,0.0,100000
379.0,-0.512,2010,1.3669993877410889,-0.9734101295471191,0.0003092000260949135,-0.0,0.011716301552951336,0.011716301552951336,0.004525783937424421,0.08834368735551834,0.0,0.0,120000
391.8,-0.5632,2004,1.3495981693267822,0.1799514889717102,0.0496622771024704,-0.0,0.06213264539837837,0.06213264539837837,0.0020512316841632128,0.1352122277021408,0.0,0.0,140000
602.9,-1.4076,1987,1.3536065816879272,-1.2962350845336914,0.0026810020208358765,-0.0,0.015803176909685135,0.015803176909685135,0.0008277834276668727,0.03822847083210945,0.0,0.0,160000
274.6,-0.0944,1977,1.3744920492172241,-0.9537194967269897,-0.09094759076833725,-0.0,-0.07851739972829819,-0.07851739972829819,0.00262945843860507,0.13045549392700195,0.0,0.0,180000
560.4,-1.2376,1971,1.3585621118545532,-0.3930920362472534,-0.01130665186792612,-0.0,0.00224926951341331,0.00224926951341331,5.939829134149477e-05,0.020580142736434937,0.0,0.0,200000
391.2,-0.5608,1966,1.3664792776107788,-0.09211468696594238,0.01866777241230011,-0.0,0.03130532428622246,0.03130532428622246,0.0020544803701341152,0.07078937441110611,0.0,0.0,220000
300.5,-0.198,1975,1.315415859222412,-1.5842561721801758,-0.017407074570655823,-0.0,-0.006064327899366617,-0.006064327899366617,0.003622825490310788,0.1089802011847496,0.0,0.0,240000
202.4,0.1944,1977,1.2959001064300537,0.05018460750579834,0.006977776996791363,-0.0,0.0197304654866457,0.0197304654866457,0.0004126255807932466,0.06072745472192764,0.0,0.0,260000
455.5,-0.818,1978,1.3510024547576904,-0.4239586591720581,0.02998826466500759,-0.0,0.042702484875917435,0.042702484875917435,0.0015916075790300965,0.10596912354230881,0.0,0.0,280000
654.3,-1.7136,1981,1.3489242792129517,-0.2691611051559448,-0.014878244139254093,-0.0,-0.001603587530553341,-0.001603587530553341,0.00042917169048450887,0.0383082740008831,0.0,0.0,300000
